2020-09-16;1487.51
2020-09-23;5633.42
2020-09-25;43190.91
2020-10-04;846.70
2020-10-05;10805.01
2020-10-08;10607.85
2020-10-14;921.60
2020-10-16;60304.08
2020-10-17;3308.36
2020-10-19;44511.74
2020-10-20;4670.44
2020-10-22;16604.11
2020-10-27;51412.63
2020-10-31;1309.32
2020-11-06;36773.37
2020-11-09;38424.38
2020-11-12;1546.47
2020-11-17;18173.28
2020-11-26;36349.86
2020-11-30;18949.98
2020-12-03;9191.08
2020-12-07;77032.11
2020-12-12;933.18
2020-12-16;12728.90
2020-12-17;32404.75
2020-12-22;44157.63
2020-12-23;5311.00
2020-12-30;98818.58
2020-12-31;30885.28
2021-01-12;9545.01
2021-01-15;13875.02
2021-01-18;2069.69
2021-01-23;1584.00
2021-01-29;2065.23
2021-01-31;80579.92
2021-02-02;31601.13
2021-02-04;84300.91
2021-02-05;7836.41
2021-02-19;15209.59
2021-02-23;30950.87
2021-02-24;5880.26
2021-02-25;10151.66
2021-02-26;73056.84
2021-02-27;5873.89
2021-03-03;36266.78
2021-03-06;7.14
2021-03-08;1762.46
2021-03-11;86306.20
2021-03-12;132497.35
2021-03-15;11098.00
2021-03-16;36499.23
2021-03-19;19331.27
2021-03-24;36845.47
2021-03-25;24502.92
2021-03-30;24944.04
2021-04-06;9356.00
2021-04-09;56894.80
2021-04-12;8793.14
2021-04-13;45004.67
2021-04-14;5972.32
2021-04-15;11078.34
2021-04-16;20887.37
2021-04-17;55492.20
2021-04-21;34859.50
2021-04-22;31067.84
2021-04-25;49490.84
2021-04-28;9793.35
2021-04-29;34169.30
2021-05-05;13978.82
2021-05-06;15875.68
2021-05-07;2843.83
2021-05-08;350.20
2021-05-10;4363.12
2021-05-11;102869.99
2021-05-14;99279.19
2021-05-15;41260.24
2021-05-18;6797.77
2021-05-19;111382.22
2021-05-21;9627.71
2021-05-24;12933.70
2021-05-27;39782.81
2021-05-28;10883.97
2021-05-31;967.16
2021-06-01;9641.30
2021-06-04;20990.87
2021-06-10;35038.76
2021-06-13;603.02
2021-06-14;54285.12
2021-06-15;8144.94
2021-06-16;20068.78
2021-06-17;28234.14
2021-06-18;7145.31
2021-06-23;31135.43
2021-06-26;967.71
2021-06-30;180308.09
2021-07-03;3072.73
2021-07-06;24626.52
2021-07-07;18996.51
2021-07-08;10065.04
2021-07-12;24225.92
2021-07-14;71776.66
2021-07-16;13205.86
2021-07-19;30997.07
2021-07-20;105996.91
2021-07-21;39720.24
2021-07-22;5555.30
2021-07-23;27238.54
2021-07-27;37465.80
2021-07-31;14036.16
2021-08-02;29495.62
2021-08-03;6778.12
2021-08-04;15240.00
2021-08-05;4535.84
2021-08-11;27379.98
2021-08-16;15378.80
2021-08-17;9829.82
2021-08-18;15166.63
2021-08-19;22356.93
2021-08-21;2307.73
2021-08-24;66002.89
2021-08-25;15002.00
2021-09-02;8932.95
2021-09-03;622.12
2021-09-08;4359.19
2021-09-15;32969.39
2021-09-17;6214.85
2021-09-20;48770.40
2021-09-23;2577.35
2021-09-26;34529.05
2021-09-27;13041.00
2021-09-29;5761.81
2021-10-01;96993.74
2021-10-02;1017.64
2021-10-04;12784.02
2021-10-07;28162.19
2021-10-11;11342.40
2021-10-21;74738.58
2021-10-22;70044.19
2021-10-23;873.44
2021-10-27;31482.47
2021-11-01;4962.03
2021-11-02;8630.45
2021-11-03;2092.76
2021-11-07;6299.86
2021-11-10;8480.42
2021-11-11;53278.36
2021-11-13;6359.22
2021-11-18;15615.23
2021-11-19;2523.96
2021-11-21;2588.90
2021-11-23;57966.56
2021-11-24;8449.49
2021-11-25;70212.67
2021-11-26;18354.92
2021-12-04;3656.60
2021-12-09;44521.63
2021-12-13;10508.89
2021-12-14;15856.56
2021-12-21;61170.69
2021-12-22;185161.61
2021-12-30;1075.26
2022-01-04;27229.08
2022-01-05;21007.01
2022-01-06;47531.54
2022-01-07;30271.79
2022-01-12;60443.01
2022-01-13;29289.69
2022-01-18;15886.37
2022-01-26;24375.73
2022-01-27;25627.64
2022-01-28;11742.02
2022-01-31;34649.78
2022-02-11;26740.68
2022-02-15;17343.16
2022-02-16;9159.32
2022-02-17;6378.73
2022-02-24;17899.36
2022-02-25;5271.04
2022-02-28;18394.40
2022-03-01;32200.00
2022-03-02;633.30
2022-03-05;67973.33
2022-03-07;16794.37
2022-03-08;48697.39
2022-03-20;8734.13
2022-03-21;129.67
2022-03-24;41765.13
2022-03-30;53061.73
2022-04-01;23244.21
2022-04-05;61567.00
2022-04-06;4962.31
2022-04-08;5910.39
2022-04-10;623.60
2022-04-11;3689.44
2022-04-12;78237.76
2022-04-22;23932.79
2022-04-23;155078.11
2022-04-26;65771.90
2022-04-28;2008.19
2022-04-30;29554.50
2022-05-02;163027.20
2022-05-04;37939.86
2022-05-05;3669.53
2022-05-12;97122.17
2022-05-13;78502.70
2022-05-17;45900.37
2022-05-18;10938.18
2022-05-19;91168.02
