SECTOR;CANTIDAD;FOB_TOTAL;FLETE_TOTAL;CIF_TOTAL
1;1;469.96;38.81;509.27
1;1;585.63;48.36;634.62
1;2;3716.3;306.9;4027.22
1;1;1230.32;101.6;1333.25
1;1;278.35;22.98;301.63
1;1;1003.78;82.89;1087.75
1;1;866.41;71.55;938.89
1;1;119.3;9.85;129.27
1;1;469.96;38.81;509.27
1;1;469.96;38.81;509.27
1;1;1097.77;90.65;1189.6
1;1;119.29;9.85;129.26
1;2;8051.63;403.94;8464.02
1;2;8899.53;446.48;9355.35
1;2;7351.41;368.81;7727.94
1;6;2206.56;41.41;2249.99
1;6;909.26;17.06;927.15
1;13;1857.14;34.85;1893.69
1;188;15424.89;289.52;15728.55
1;8;3150.58;59.13;3212.59
1;100;15457.98;290.14;15762.29
1;2;1404.23;182.37;1588.82
1;2;1409.91;32.9;1444.25
1;15;2395.08;71.1;2468.99
1;20;3562.55;105.75;3672.48
1;3;1414.98;33.52;1450.16
1;3;1682.93;39.87;1724.77
1;8;2370.27;56.15;2429.2
1;15;3763.26;89.15;3856.83
1;2;666.34;15.78;682.9
1;1;673.17;49.92;723.81
1;1;855.48;63.44;919.83
1;7;4719.95;350.03;5075.05
1;7;4719.95;350.03;5075.05
1;2;1346.35;99.84;1447.63
1;1;724.79;53.75;779.31
1;1;674.28;50;725
1;1;1534.15;113.77;1649.56
1;1;741.26;54.97;797.02
1;1;674.28;50;725
1;1;674.28;50;725
1;1;750.05;55.62;806.47
1;1;679.76;50.41;730.9
1;3;2250.16;166.87;2419.44
1;1;1236.53;91.7;1329.55
1;1;1236.53;91.7;1329.55
1;1;674.28;50;725
1;1;764.32;56.68;821.82
1;1;690.75;51.22;742.71
1;20;18378.86;649.49;19045.47
1;240;16970.4;524.48;17510.63
1;165;16450.5;559.85;17025.61
1;35;5442.5;177.12;5624.67
1;35;7451.5;203.29;7661.7
1;40;9584;285.24;9878.13
1;2;1409.37;22.34;1433.14
1;2;1409.37;22.34;1433.14
1;2;1409.37;22.34;1433.14
1;9;13842.37;267.64;14130.01
1;11;5846.6;376.55;6228.73
1;30;10426.66;629.78;11066.39
1;1;1197;24.9;1223
1;17;13974;290.71;14277.54
1;2;289.92;6.03;296.21
1;1;495;10.29;505.74
1;2;346;7.19;353.5
1;1;1615;33.59;1650.07
1;2;3362.64;69.95;3435.67
1;2;466;9.69;476.11
1;2;412;8.57;420.94
1;2;466;9.69;476.11
1;23;4002;83.25;4088.92
1;10;1291.5;26.86;1319.54
1;10;1460;30.37;1491.71
1;27;4347;90.43;4441.42
1;4;579.84;12.06;592.43
1;3;448.08;9.32;457.81
1;40;4120;85.71;4209.49
1;24;2328;48.43;2378.56
1;4;568;11.81;580.33
1;10;2950;61.37;3014.08
1;10;3300;68.65;3371.68
1;26;9126;189.85;9324.23
1;5;3750;78.01;3831.45
1;1;3881.7;241.38;4126.85
1;1;4265.55;265.25;4534.94
1;1;4139.25;257.39;4400.66
