FECHA;VENTAS
2038-06-01;29813.03
2038-07-01;1487.51
2038-08-01;5633.42
2038-09-01;43190.91
2038-10-01;846.70
2038-11-01;10805.01
2038-12-01;10607.85
2039-01-01;921.60
2039-02-01;60304.08
2039-03-01;3308.36
2039-04-01;44511.74
2039-05-01;4670.44
2039-06-01;16604.11
2039-07-01;51412.63
2039-08-01;1309.32
2039-09-01;36773.37
2039-10-01;38424.38
2039-11-01;1546.47
2039-12-01;18173.28
2040-01-01;36349.86
2040-02-01;18949.98
2040-03-01;9191.08
2040-04-01;77032.11
2040-05-01;933.18
2040-06-01;12728.90
2040-07-01;32404.75
2040-08-01;44157.63
2040-09-01;5311.00
2040-10-01;98818.58
2040-11-01;30885.28
2040-12-01;9545.01
2041-01-01;13875.02
2041-02-01;2069.69
2041-03-01;1584.00
2041-04-01;2065.23
2041-05-01;80579.92
2041-06-01;31601.13
2041-07-01;84300.91
2041-08-01;7836.41
2041-09-01;15209.59
2041-10-01;30950.87
2041-11-01;5880.26
2041-12-01;10151.66
2042-01-01;73056.84
2042-02-01;5873.89
2042-03-01;36266.78
2042-04-01;7.14
2042-05-01;1762.46
2042-06-01;86306.20
2042-07-01;132497.35
2042-08-01;11098.00
2042-09-01;36499.23
2042-10-01;19331.27
2042-11-01;36845.47
2042-12-01;24502.92
2043-01-01;24944.04
2043-02-01;9356.00
2043-03-01;56894.80
2043-04-01;8793.14
2043-05-01;45004.67
2043-06-01;5972.32
2043-07-01;11078.34
2043-08-01;20887.37
2043-09-01;55492.20
2043-10-01;34859.50
2043-11-01;31067.84
2043-12-01;49490.84
2044-01-01;9793.35
2044-02-01;34169.30
2044-03-01;13978.82
2044-04-01;15875.68
2044-05-01;2843.83
2044-06-01;350.20
2044-07-01;4363.12
2044-08-01;102869.99
2044-09-01;99279.19
2044-10-01;41260.24
2044-11-01;6797.77
2044-12-01;111382.22
2045-01-01;9627.71
2045-02-01;12933.70
2045-03-01;39782.81
2045-04-01;10883.97
2045-05-01;967.16
2045-06-01;9641.30
2045-07-01;20990.87
2045-08-01;35038.76
2045-09-01;603.02
2045-10-01;54285.12
2045-11-01;8144.94
2045-12-01;20068.78
2046-01-01;28234.14
2046-02-01;7145.31
2046-03-01;31135.43
2046-04-01;967.71
2046-05-01;180308.09
2046-06-01;3072.73
2046-07-01;24626.52
2046-08-01;18996.51
2046-09-01;10065.04
2046-10-01;24225.92
2046-11-01;71776.66
2046-12-01;13205.86
2047-01-01;30997.07
2047-02-01;105996.91
2047-03-01;39720.24
2047-04-01;5555.30
2047-05-01;27238.54
2047-06-01;37465.80
2047-07-01;14036.16
2047-08-01;29495.62
2047-09-01;6778.12
2047-10-01;15240.00
2047-11-01;4535.84
2047-12-01;27379.98
2048-01-01;15378.80
2048-02-01;9829.82
2048-03-01;15166.63
2048-04-01;22356.93
2048-05-01;2307.73
2048-06-01;66002.89
2048-07-01;15002.00
2048-08-01;8932.95
2048-09-01;622.12
2048-10-01;4359.19
2048-11-01;32969.39
2048-12-01;6214.85
2049-01-01;48770.40
2049-02-01;2577.35
2049-03-01;34529.05
2049-04-01;13041.00
2049-05-01;5761.81
2049-06-01;96993.74
2049-07-01;1017.64
2049-08-01;12784.02
2049-09-01;28162.19
2049-10-01;11342.40
2049-11-01;74738.58
2049-12-01;70044.19
2050-01-01;873.44
2050-02-01;31482.47
2050-03-01;4962.03
2050-04-01;8630.45
2050-05-01;2092.76
2050-06-01;6299.86
2050-07-01;8480.42
2050-08-01;53278.36
2050-09-01;6359.22
2050-10-01;15615.23
2050-11-01;2523.96
2050-12-01;2588.90
2051-01-01;57966.56
2051-02-01;8449.49
2051-03-01;70212.67
2051-04-01;18354.92
2051-05-01;3656.60
2051-06-01;44521.63
2051-07-01;10508.89
